"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","A todo does not exist","chromium","Tue Jul 08 23:26:10 GMT 2025","passed","Tue Jul 08 23:26:10 GMT 2025","API challenge","api.spec.js","",""
"","4173","Manufacturer link should not lead to error page","chromium","Tue Jul 08 23:26:39 GMT 2025","passed","Tue Jul 08 23:26:43 GMT 2025","Карточка товара","store.spec.js","",""
"","21","Get all todos","chromium","Tue Jul 08 23:26:10 GMT 2025","passed","Tue Jul 08 23:26:10 GMT 2025","API challenge","api.spec.js","",""
"","18","Get a specific todo","chromium","Tue Jul 08 23:26:10 GMT 2025","passed","Tue Jul 08 23:26:10 GMT 2025","API challenge","api.spec.js","",""
"","3192","Comment form should not freeze the page on submission","chromium","Tue Jul 08 23:26:43 GMT 2025","passed","Tue Jul 08 23:26:46 GMT 2025","Карточка товара","store.spec.js","",""
"","5929","Changing currency should not freeze the page","chromium","Tue Jul 08 23:26:33 GMT 2025","passed","Tue Jul 08 23:26:39 GMT 2025","Карточка товара","store.spec.js","",""
"","7655","Password retrieval does not work on AcademyBugs","chromium","Tue Jul 08 23:26:25 GMT 2025","passed","Tue Jul 08 23:26:33 GMT 2025","Аккаунт","forgotPassword.spec.js","",""
"","34","02 First Real Challenge","chromium","Tue Jul 08 23:26:10 GMT 2025","passed","Tue Jul 08 23:26:10 GMT 2025","API challenge","api.spec.js","",""
"","13470","Page freezes when selecting number of results to display","chromium","Tue Jul 08 23:26:10 GMT 2025","passed","Tue Jul 08 23:26:23 GMT 2025","Каталог товаров","findbugs.spec.js","",""
"","18","Nouns should be plural","chromium","Tue Jul 08 23:26:10 GMT 2025","passed","Tue Jul 08 23:26:10 GMT 2025","API challenge","api.spec.js","",""
