"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","XML pref","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","30","Todo does not exist","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","31","Create a todo using Content-Type `application/xml`","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","29","Check the 'Allow' header","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","27","Using the X-AUTH-TOKEN value as an Authorization Bearer token","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","6176","Manufacturer link should not lead to error page","chromium","Wed Jul 09 00:20:58 GMT 2025","passed","Wed Jul 09 00:21:04 GMT 2025","Карточка товара","store.spec.js","",""
"","29","Return XML response","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","3276","Page freezes when selecting number of results to display","chromium","Wed Jul 09 00:20:32 GMT 2025","passed","Wed Jul 09 00:20:35 GMT 2025","Каталог товаров","findbugs.spec.js","",""
"","157","Invalid Basic Auth","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","58","02 First Real Challenge","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","26","Post note when invalid X-AUTH-TOKEN","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","29","Invalid Accept Header","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","26","Invalid X-AUTH-TOKEN returns 403 Forbidden","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","34","Nouns should be plural","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","27","Update an existing todo partially","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","29","A todo does not exist","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","28","Post note with valid auth token","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","31","Unsuccessfully create a todo","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","29","Get only headers","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","29","Update todo with no amend id","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","28","Valid X-AUTH-TOKEN returns 200","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","28","Post note with valid Bearer token","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:32 GMT 2025","API challenge","api.spec.js","",""
"","116","Valid Basic Auth","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","31","Update an existing todo","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","119","Create a todo","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","30","Title too long","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","30","Get a specific todo","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","28","Return JSON response","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","34","Description too long","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","30","No `Accept` header","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","34","Get all todos","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","26","Post note when no X-AUTH-TOKEN present","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","34","Validation on the `doneStatus` field","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
