"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Fail to update an existing todo because title is missing","chromium","Fri Jul 11 16:58:32 GMT 2025","passed","Fri Jul 11 16:58:33 GMT 2025","API challenge","api.spec.js","",""
"","5460","Manufacturer link should not lead to error page","chromium","Fri Jul 11 16:58:50 GMT 2025","passed","Fri Jul 11 16:58:56 GMT 2025","Карточка товара","store.spec.js","",""
"","23","Successfully delete a todo","chromium","Fri Jul 11 16:58:33 GMT 2025","passed","Fri Jul 11 16:58:33 GMT 2025","API challenge","api.spec.js","",""
"","97","02 First Real Challenge","chromium","Fri Jul 11 16:58:32 GMT 2025","passed","Fri Jul 11 16:58:32 GMT 2025","API challenge","api.spec.js","",""
"","23","A todo does not exist","chromium","Fri Jul 11 16:58:32 GMT 2025","passed","Fri Jul 11 16:58:32 GMT 2025","API challenge","api.spec.js","",""
"","10462","Password retrieval does not work on AcademyBugs","chromium","Fri Jul 11 16:58:36 GMT 2025","passed","Fri Jul 11 16:58:46 GMT 2025","Аккаунт","forgotPassword.spec.js","",""
"","24","Update an existing todo","chromium","Fri Jul 11 16:58:32 GMT 2025","passed","Fri Jul 11 16:58:32 GMT 2025","API challenge","api.spec.js","",""
"","3697","Changing currency should not freeze the page","chromium","Fri Jul 11 16:58:46 GMT 2025","passed","Fri Jul 11 16:58:50 GMT 2025","Карточка товара","store.spec.js","",""
"","19","Get a specific todo","chromium","Fri Jul 11 16:58:32 GMT 2025","passed","Fri Jul 11 16:58:32 GMT 2025","API challenge","api.spec.js","",""
"","4303","Comment form should not freeze the page on submission","chromium","Fri Jul 11 16:58:56 GMT 2025","passed","Fri Jul 11 16:59:00 GMT 2025","Карточка товара","store.spec.js","",""
"","2906","Page freezes when selecting number of results to display","chromium","Fri Jul 11 16:58:33 GMT 2025","passed","Fri Jul 11 16:58:35 GMT 2025","Каталог товаров","findbugs.spec.js","",""
"","23","Successfully update a todo","chromium","Fri Jul 11 16:58:32 GMT 2025","passed","Fri Jul 11 16:58:32 GMT 2025","API challenge","api.spec.js","",""
"","23","Create a todo","chromium","Fri Jul 11 16:58:32 GMT 2025","passed","Fri Jul 11 16:58:32 GMT 2025","API challenge","api.spec.js","",""
"","27","Get all todos","chromium","Fri Jul 11 16:58:32 GMT 2025","passed","Fri Jul 11 16:58:32 GMT 2025","API challenge","api.spec.js","",""
