"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Successfully update a todo","chromium","Tue Jul 08 23:38:55 GMT 2025","passed","Tue Jul 08 23:38:55 GMT 2025","API challenge","api.spec.js","",""
"","128","02 First Real Challenge","chromium","Tue Jul 08 23:38:53 GMT 2025","passed","Tue Jul 08 23:38:53 GMT 2025","API challenge","api.spec.js","",""
"","63","Successfully delete a todo","chromium","Tue Jul 08 23:38:56 GMT 2025","passed","Tue Jul 08 23:38:56 GMT 2025","API challenge","api.spec.js","",""
"","3786","Page freezes when selecting number of results to display","chromium","Tue Jul 08 23:38:58 GMT 2025","passed","Tue Jul 08 23:39:01 GMT 2025","Каталог товаров","findbugs.spec.js","",""
"","72","Nouns should be plural","chromium","Tue Jul 08 23:38:54 GMT 2025","passed","Tue Jul 08 23:38:54 GMT 2025","API challenge","api.spec.js","",""
"","306","Invalid Basic Auth","chromium","Tue Jul 08 23:38:56 GMT 2025","passed","Tue Jul 08 23:38:57 GMT 2025","API challenge","api.spec.js","",""
"","67","Get all todos","chromium","Tue Jul 08 23:38:54 GMT 2025","passed","Tue Jul 08 23:38:54 GMT 2025","API challenge","api.spec.js","",""
"","65","Create a todo using Content-Type `application/xml`","chromium","Tue Jul 08 23:38:56 GMT 2025","passed","Tue Jul 08 23:38:56 GMT 2025","API challenge","api.spec.js","",""
"","3116","Comment form should not freeze the page on submission","chromium","Tue Jul 08 23:39:30 GMT 2025","passed","Tue Jul 08 23:39:33 GMT 2025","Карточка товара","store.spec.js","",""
"","64","Return XML response","chromium","Tue Jul 08 23:38:56 GMT 2025","passed","Tue Jul 08 23:38:56 GMT 2025","API challenge","api.spec.js","",""
"","64","Post note with valid auth token","chromium","Tue Jul 08 23:38:57 GMT 2025","passed","Tue Jul 08 23:38:57 GMT 2025","API challenge","api.spec.js","",""
"","64","A todo does not exist","chromium","Tue Jul 08 23:38:54 GMT 2025","passed","Tue Jul 08 23:38:54 GMT 2025","API challenge","api.spec.js","",""
"","64","Return ANY response","chromium","Tue Jul 08 23:38:56 GMT 2025","passed","Tue Jul 08 23:38:56 GMT 2025","API challenge","api.spec.js","",""
"","67","Filter only done todos","chromium","Tue Jul 08 23:38:57 GMT 2025","passed","Tue Jul 08 23:38:58 GMT 2025","API challenge","api.spec.js","",""
"","64","Return JSON response","chromium","Tue Jul 08 23:38:56 GMT 2025","passed","Tue Jul 08 23:38:56 GMT 2025","API challenge","api.spec.js","",""
"","63","Unsupported content type","chromium","Tue Jul 08 23:38:56 GMT 2025","passed","Tue Jul 08 23:38:56 GMT 2025","API challenge","api.spec.js","",""
"","63","Valid X-AUTH-TOKEN returns 200","chromium","Tue Jul 08 23:38:57 GMT 2025","passed","Tue Jul 08 23:38:57 GMT 2025","API challenge","api.spec.js","",""
"","62","Post note when no X-AUTH-TOKEN present","chromium","Tue Jul 08 23:38:57 GMT 2025","passed","Tue Jul 08 23:38:57 GMT 2025","API challenge","api.spec.js","",""
"","63","Using the X-AUTH-TOKEN value as an Authorization Bearer token","chromium","Tue Jul 08 23:38:57 GMT 2025","passed","Tue Jul 08 23:38:57 GMT 2025","API challenge","api.spec.js","",""
"","64","Title too long","chromium","Tue Jul 08 23:38:55 GMT 2025","passed","Tue Jul 08 23:38:55 GMT 2025","API challenge","api.spec.js","",""
"","66","Max out content","chromium","Tue Jul 08 23:38:55 GMT 2025","passed","Tue Jul 08 23:38:55 GMT 2025","API challenge","api.spec.js","",""
"","62","X-AUTH-TOKEN no presents","chromium","Tue Jul 08 23:38:57 GMT 2025","passed","Tue Jul 08 23:38:57 GMT 2025","API challenge","api.spec.js","",""
"","3855","Manufacturer link should not lead to error page","chromium","Tue Jul 08 23:39:26 GMT 2025","passed","Tue Jul 08 23:39:30 GMT 2025","Карточка товара","store.spec.js","",""
"","66","Unsuccessfully create a todo","chromium","Tue Jul 08 23:38:55 GMT 2025","passed","Tue Jul 08 23:38:55 GMT 2025","API challenge","api.spec.js","",""
"","65","Update an existing todo","chromium","Tue Jul 08 23:38:55 GMT 2025","passed","Tue Jul 08 23:38:55 GMT 2025","API challenge","api.spec.js","",""
"","65","Update an existing todo partially","chromium","Tue Jul 08 23:38:55 GMT 2025","passed","Tue Jul 08 23:38:55 GMT 2025","API challenge","api.spec.js","",""
"","62","Create a todo using Content-Type `application/json`","chromium","Tue Jul 08 23:38:56 GMT 2025","passed","Tue Jul 08 23:38:56 GMT 2025","API challenge","api.spec.js","",""
"","68","Validation on the `doneStatus` field","chromium","Tue Jul 08 23:38:55 GMT 2025","passed","Tue Jul 08 23:38:55 GMT 2025","API challenge","api.spec.js","",""
